,电影,票房占比,综合票房,场均人次,排片占比,上座率
63,第七子：降魔之战,4.2%,229.61,5,10.8%,6.3%
64,智取威虎山,2.4%,131.66,12,2.6%,16.0%
65,怪谈,1.3%,73.30,4,5.1%,6.0%
66,暴走神探,0.5%,27.62,4,1.4%,4.2%
67,谍·莲花,0.4%,26.53,24,0.2%,30.8%
68,十万个冷笑话,0.3%,21.71,6,1.0%,9.5%
69,斑马总动员,0.3%,20.32,6,0.8%,8.7%
70,功夫3D,0.2%,14.24,2,1.3%,2.6%
71,黄金福将,0.2%,12.62,2,1.7%,4.5%
72,奔驰的大葱,0.1%,7.04,2,1.0%,3.8%
73,一代宗师3D,0.1%,5.62,5,0.2%,5.0%
74,味道中国,<0.1%,4.03,1,0.7%,1.4%
75,微爱之渐入佳境,<0.1%,3.87,5,0.1%,9.3%
76,闯堂兔2：疯狂马戏团,<0.1%,3.56,4,0.2%,5.4%
77,奇缘灰姑娘,<0.1%,3.45,0,0.3%,6.6%
78,怨灵人偶,<0.1%,3.34,2,0.3%,6.8%
79,前目的地,<0.1%,3.05,2,0.3%,4.7%
80,霍比特人3：五军之战,66.3%,3211.60,17,44.2%,14.4%
81,重返20岁,13.6%,662.97,11,17.0%,14.0%
82,博物馆奇妙夜3,7.0%,339.54,10,9.6%,13.2%
83,第七子：降魔之战,4.6%,224.75,5,10.7%,6.1%
84,智取威虎山,2.5%,123.59,11,2.7%,15.0%
85,怪谈,1.4%,68.19,4,5.1%,5.7%
86,谍·莲花,1.2%,58.79,44,0.2%,47.3%
87,暴走神探,0.5%,27.55,4,1.3%,4.2%
88,十万个冷笑话,0.4%,22.04,6,1.0%,9.7%
89,斑马总动员,0.4%,19.90,6,0.9%,8.8%
90,功夫3D,0.2%,14.21,2,1.3%,2.6%
91,黄金福将,0.2%,12.11,2,1.6%,4.5%
92,奔驰的大葱,0.1%,6.16,2,0.9%,4.0%
93,味道中国,0.1%,5.96,2,0.7%,3.0%
94,一代宗师3D,0.1%,5.42,5,0.2%,5.3%
95,闯堂兔2：疯狂马戏团,<0.1%,3.98,4,0.2%,5.8%
96,怨灵人偶,<0.1%,3.90,3,0.3%,9.8%
97,微爱之渐入佳境,<0.1%,3.68,5,0.1%,10.0%
98,奇缘灰姑娘,<0.1%,3.66,0,0.3%,5.3%
99,我要你开花,<0.1%,3.43,1,0.5%,2.3%
100,霍比特人3：五军之战,61.9%,2846.34,15,43.8%,12.7%
101,重返20岁,13.8%,638.15,11,16.7%,14.0%
102,博物馆奇妙夜3,7.3%,337.32,11,9.4%,14.3%
103,第七子：降魔之战,4.5%,208.05,5,9.8%,6.2%
104,智取威虎山,2.7%,126.95,12,2.6%,16.0%
105,热血男人帮,2.0%,94.30,5,5.0%,7.8%
106,奔跑吧！兄弟,1.9%,88.72,42,<0.1%,43.9%
107,谍·莲花,1.3%,61.61,58,0.2%,55.8%
108,怪谈,1.1%,54.77,4,4.3%,6.0%
109,暴走神探,0.4%,22.04,3,1.1%,3.1%
110,十万个冷笑话,0.4%,20.04,5,0.9%,7.9%
111,斑马总动员,0.4%,20.03,6,0.9%,8.5%
112,功夫3D,0.2%,12.52,3,1.1%,3.9%
113,黄金福将,0.1%,8.23,2,1.3%,4.9%
114,味道中国,0.1%,5.76,3,0.5%,4.7%
115,一代宗师3D,0.1%,5.69,5,0.2%,5.1%
116,怨灵人偶,<0.1%,3.76,2,0.3%,6.7%
117,奇缘灰姑娘,<0.1%,3.59,0,0.2%,4.1%
118,奔驰的大葱,<0.1%,3.50,1,0.6%,2.5%
119,亡命地中海,<0.1%,3.30,7,0.1%,6.9%
120,奔跑吧！兄弟,52.1%,7981.72,54,36.1%,55.1%
121,霍比特人3：五军之战,22.0%,3370.41,28,23.6%,23.5%
122,熊出没之雪岭熊风,18.1%,2772.31,33,18.5%,36.7%
123,坚不可摧,2.9%,455.19,13,8.6%,15.6%
124,重返20岁,1.4%,224.53,14,3.8%,22.8%
125,有种你爱我,0.9%,139.19,19,1.8%,24.5%
126,博物馆奇妙夜3,0.7%,107.80,18,1.3%,25.6%
127,谍·莲花,0.4%,61.45,96,<0.1%,79.1%
128,智取威虎山,0.2%,41.93,19,0.4%,29.0%
129,第七子：降魔之战,0.2%,32.18,6,1.0%,9.9%
130,热血男人帮,0.1%,20.86,3,1.2%,4.6%
131,喜羊羊与灰太狼之羊年喜羊羊,0.1%,16.26,152,<0.1%,100%
132,时光大战,<0.1%,14.08,3,1.4%,5.3%
133,怪谈,<0.1%,11.74,4,0.7%,6.4%
134,功夫3D,<0.1%,4.22,6,<0.1%,12.5%
135,天河,<0.1%,3.91,--,<0.1%,95.6%
136,文字国历险记之浩昊三战怪怪城,<0.1%,3.56,0,<0.1%,--
137,青涩日记,<0.1%,2.85,0,<0.1%,24.6%
138,怨灵人偶,<0.1%,2.82,3,0.1%,10.2%
139,味道中国,<0.1%,2.69,--,<0.1%,22.9%
140,黄金福将,<0.1%,2.52,0,0.4%,4.3%
141,奔跑吧！兄弟,41.9%,8580.84,50,37.5%,48.6%
142,霍比特人3：五军之战,24.9%,5111.77,48,18.2%,42.1%
143,熊出没之雪岭熊风,19.6%,4026.75,43,18.0%,48.1%
144,喜羊羊与灰太狼之羊年喜羊羊,7.2%,1475.44,26,12.5%,33.3%
145,坚不可摧,2.6%,544.67,24,4.8%,32.7%
146,重返20岁,1.1%,234.85,22,2.1%,40.2%
147,博物馆奇妙夜3,0.6%,124.25,32,0.7%,46.5%
148,谍·莲花,0.2%,52.07,104,<0.1%,76.5%
149,智取威虎山,0.2%,46.04,30,0.2%,49.3%
150,第七子：降魔之战,0.1%,28.82,10,0.4%,18.8%
151,热血男人帮,<0.1%,13.95,4,0.6%,6.1%
152,怪谈,<0.1%,13.82,6,0.4%,9.4%
153,时光大战,<0.1%,8.54,3,0.5%,6.0%
154,我要你开花,<0.1%,2.90,7,<0.1%,32.1%
155,十万个冷笑话,<0.1%,2.72,11,<0.1%,26.9%
156,一代宗师3D,<0.1%,2.55,17,<0.1%,13.5%
157,功夫3D,<0.1%,2.37,6,<0.1%,12.0%
158,暴走神探,<0.1%,2.25,9,<0.1%,11.1%
159,建党伟业,<0.1%,2.24,--,<0.1%,--
160,奔跑吧！兄弟,39.6%,6447.74,39,38.0%,36.1%
161,霍比特人3：五军之战,24.7%,4026.55,43,18.0%,37.9%
162,熊出没之雪岭熊风,20.7%,3382.96,35,18.5%,38.1%
163,喜羊羊与灰太狼之羊年喜羊羊,7.0%,1140.06,22,12.4%,28.0%
164,坚不可摧,2.7%,455.38,26,4.7%,35.0%
165,重返20岁,1.2%,205.92,24,2.1%,43.0%
166,博物馆奇妙夜3,0.7%,117.58,39,0.7%,54.0%
167,谍·莲花,0.3%,53.11,132,<0.1%,94.0%
168,时光大战,0.2%,34.70,16,0.4%,30.1%
169,智取威虎山,0.2%,32.66,30,0.2%,46.9%
170,第七子：降魔之战,0.1%,22.38,15,0.4%,26.4%
171,热血男人帮,<0.1%,14.06,14,0.5%,23.5%
172,奔驰的大葱,<0.1%,11.49,52,<0.1%,100%
173,怪谈,<0.1%,6.39,7,0.4%,11.7%
174,王牌,<0.1%,5.32,51,<0.1%,84.3%
175,热情奏鸣曲,<0.1%,2.81,300,<0.1%,--
176,功夫3D,<0.1%,2.19,9,<0.1%,20.0%
177,十万个冷笑话,<0.1%,2.03,21,<0.1%,46.1%
178,一代宗师3D,<0.1%,1.97,23,<0.1%,17.6%
179,西藏天空,<0.1%,1.65,--,<0.1%,22.7%
180,前目的地,<0.1%,1.07,7,<0.1%,57.1%
181,窃听风云2,<0.1%,1.02,50,<0.1%,33.3%
182,奔跑吧！兄弟,42.2%,2986.64,19,38.0%,17.4%
183,霍比特人3：五军之战,25.9%,1835.10,18,19.2%,16.0%
184,熊出没之雪岭熊风,16.9%,1202.09,15,17.2%,16.5%
185,喜羊羊与灰太狼之羊年喜羊羊,5.4%,382.07,8,11.1%,10.1%
186,坚不可摧,4.4%,315.19,12,5.8%,16.2%
187,重返20岁,1.9%,139.22,12,2.5%,20.7%
188,博物馆奇妙夜3,0.8%,61.63,15,0.8%,21.8%
189,智取威虎山,0.4%,29.54,16,0.3%,22.3%
190,第七子：降魔之战,0.2%,17.91,5,0.5%,8.9%
191,有一个地方只有我们知道,0.1%,13.77,--,<0.1%,--
192,怪谈,0.1%,9.85,4,0.5%,6.8%
193,热血男人帮,<0.1%,7.05,2,0.5%,3.8%
194,有种你爱我,<0.1%,4.27,64,<0.1%,80.0%
195,神探驾到,<0.1%,3.74,111,<0.1%,75.6%
196,谍·莲花,<0.1%,3.62,28,<0.1%,16.3%
197,时光大战,<0.1%,3.16,2,0.4%,4.1%
198,狼图腾,<0.1%,2.37,--,<0.1%,--
199,奇缘灰姑娘,<0.1%,1.22,10,<0.1%,43.2%
200,一路惊喜,<0.1%,1.20,80,<0.1%,100%
201,奔跑吧！兄弟,38.9%,2709.22,18,37.5%,17.0%
202,霍比特人3：五军之战,27.6%,1921.06,19,19.4%,17.5%
203,熊出没之雪岭熊风,17.3%,1207.47,15,17.1%,17.1%
204,喜羊羊与灰太狼之羊年喜羊羊,5.4%,380.70,9,10.7%,11.6%
205,坚不可摧,5.0%,352.54,13,6.1%,18.1%
206,重返20岁,2.1%,151.13,13,2.6%,22.9%
207,博物馆奇妙夜3,0.8%,62.34,16,0.9%,23.7%
208,智取威虎山,0.4%,31.79,15,0.3%,21.9%
209,有一个地方只有我们知道,0.3%,25.18,367,<0.1%,62.0%
210,第七子：降魔之战,0.2%,18.95,6,0.5%,11.9%
211,谍·莲花,0.1%,13.75,74,<0.1%,69.7%
212,怪谈,0.1%,11.10,5,0.5%,7.9%
213,奔驰的大葱,0.1%,10.97,36,<0.1%,100%
214,热血男人帮,0.1%,7.68,3,0.5%,5.4%
215,有种你爱我,<0.1%,4.49,100,<0.1%,100%
216,一代宗师3D,<0.1%,3.53,32,<0.1%,27.4%
217,神探驾到,<0.1%,2.66,120,<0.1%,100%
218,蜡笔总动员,<0.1%,2.65,90,<0.1%,66.0%
219,时光大战,<0.1%,2.64,1,0.4%,2.2%
220,一路惊喜,<0.1%,2.38,58,<0.1%,40.6%
221,功夫3D,<0.1%,1.41,--,<0.1%,3.1%
222,西藏天空,<0.1%,1.41,29,<0.1%,21.6%
223,黄金福将,<0.1%,1.29,--,<0.1%,2.7%
