,电影,票房占比,综合票房,场均人次,排片占比,上座率
1131,失孤,25.8%,3273.62,27,27.2%,26.0%
1132,飓风营救3,25.5%,3236.34,24,24.3%,21.8%
1133,灰姑娘,25.3%,3214.64,39,18.6%,42.9%
1134,超能陆战队,13.2%,1686.14,33,10.2%,39.6%
1135,可爱的你,2.7%,342.80,9,7.6%,13.2%
1136,帕丁顿熊,1.9%,249.63,22,2.3%,31.2%
1137,木星上行,1.4%,184.74,13,2.5%,22.1%
1138,狼图腾,0.9%,124.87,16,1.2%,25.5%
1139,澳门风云2,0.9%,123.52,14,1.6%,20.4%
1140,封门诡影,0.6%,79.87,7,2.4%,13.6%
1141,兔侠之青黎传说,0.6%,77.87,52,<0.1%,100%
1142,天将雄师,0.2%,28.01,18,0.2%,27.3%
1143,将错就错,0.1%,18.93,6,0.6%,20.0%
1144,熊出没之雪岭熊风,<0.1%,12.60,12,0.1%,25.0%
1145,奇缘灰姑娘,<0.1%,4.73,12,<0.1%,18.9%
1146,扑通扑通我的人生,<0.1%,4.21,2,0.3%,9.5%
1147,北京纽约,<0.1%,2.99,4,<0.1%,14.1%
1148,钟馗伏魔：雪妖魔灵,<0.1%,2.10,5,<0.1%,12.7%
1149,大喜临门,<0.1%,2.08,6,<0.1%,10.3%
1150,吉星高照2015,<0.1%,2.01,27,<0.1%,63.3%
1151,失孤,31.4%,1514.38,13,27.4%,12.7%
1152,飓风营救3,29.1%,1402.46,11,24.8%,10.2%
1153,灰姑娘,20.5%,989.09,13,19.3%,14.3%
1154,超能陆战队,7.2%,347.58,9,8.6%,10.6%
1155,可爱的你,3.6%,176.92,5,7.8%,7.5%
1156,兔侠之青黎传说,1.5%,72.57,52,<0.1%,100%
1157,木星上行,1.4%,68.47,5,2.7%,8.4%
1158,澳门风云2,1.1%,55.90,7,1.5%,10.2%
1159,封门诡影,1.1%,54.52,5,2.6%,9.6%
1160,狼图腾,1.1%,53.18,7,1.4%,11.0%
1161,帕丁顿熊,0.8%,40.66,5,1.8%,7.0%
1162,天将雄师,0.2%,12.64,10,0.2%,14.3%
1163,将错就错,0.1%,9.59,3,0.6%,9.4%
1164,扑通扑通我的人生,<0.1%,2.08,1,0.3%,4.5%
1165,通道转兵,<0.1%,1.43,--,<0.1%,--
1166,大喜临门,<0.1%,1.28,4,<0.1%,9.3%
1167,奇缘灰姑娘,<0.1%,1.28,3,<0.1%,21.8%
1168,飓风营救3,29.6%,1362.50,11,24.6%,10.3%
1169,失孤,29.5%,1357.77,12,27.0%,11.9%
1170,灰姑娘,20.7%,951.50,12,19.8%,12.9%
1171,超能陆战队,7.6%,351.23,9,8.6%,10.6%
1172,可爱的你,3.7%,171.55,5,7.2%,7.6%
1173,兔侠之青黎传说,1.8%,83.83,58,<0.1%,100%
1174,木星上行,1.4%,67.87,5,2.7%,8.6%
1175,澳门风云2,1.1%,54.95,7,1.5%,10.3%
1176,狼图腾,1.1%,53.54,7,1.4%,11.0%
1177,封门诡影,1.0%,50.36,5,2.6%,9.5%
1178,帕丁顿熊,0.9%,43.09,6,1.8%,8.3%
1179,天将雄师,0.2%,12.92,11,0.2%,15.6%
1180,将错就错,0.2%,9.89,3,0.6%,9.6%
1181,璀璨的婚礼,<0.1%,3.31,1,0.8%,1.9%
1182,扑通扑通我的人生,<0.1%,2.49,1,0.3%,3.8%
1183,吉星高照2015,<0.1%,1.73,15,<0.1%,17.4%
1184,战狼,<0.1%,1.59,--,<0.1%,75.5%
1185,通道转兵,<0.1%,1.43,--,<0.1%,--
1186,大喜临门,<0.1%,1.36,4,<0.1%,9.0%
1187,天使：生命处方,<0.1%,1.29,36,<0.1%,53.9%
1188,飓风营救3,29.9%,1240.86,10,24.7%,9.2%
1189,失孤,28.5%,1185.64,11,27.0%,10.8%
1190,灰姑娘,20.3%,845.08,10,20.0%,10.6%
1191,超能陆战队,7.6%,318.32,8,8.6%,9.2%
1192,可爱的你,4.1%,170.02,5,7.0%,7.6%
1193,兔侠之青黎传说,1.8%,77.52,54,<0.1%,100%
1194,木星上行,1.5%,63.23,4,2.7%,6.7%
1195,澳门风云2,1.2%,52.93,7,1.6%,10.1%
1196,狼图腾,1.2%,50.77,6,1.4%,9.2%
1197,封门诡影,1.1%,48.59,4,2.6%,7.3%
1198,帕丁顿熊,0.9%,38.22,5,1.8%,6.9%
1199,天将雄师,0.2%,12.20,10,0.2%,14.2%
1200,将错就错,0.2%,9.27,3,0.6%,8.8%
1201,一万年以后,0.2%,8.77,155,<0.1%,92.0%
1202,战狼,<0.1%,3.20,100,<0.1%,73.3%
1203,扑通扑通我的人生,<0.1%,2.83,1,0.3%,3.5%
1204,美丽笨女人,<0.1%,2.21,39,<0.1%,89.6%
1205,璀璨的婚礼,<0.1%,2.18,1,0.6%,1.8%
1206,通道转兵,<0.1%,1.44,--,<0.1%,--
1207,寻找声音的耳朵,<0.1%,1.43,250,<0.1%,80.5%
1208,飓风营救3,29.6%,1153.80,10,24.7%,9.2%
1209,失孤,27.3%,1065.58,10,27.0%,9.8%
1210,灰姑娘,19.9%,776.59,10,20.0%,10.5%
1211,超能陆战队,7.8%,305.07,8,8.7%,9.2%
1212,可爱的你,4.2%,163.64,5,6.9%,7.6%
1213,兔侠之青黎传说,1.7%,67.15,51,<0.1%,100%
1214,王牌特工：特工学院,1.5%,61.66,21,<0.1%,15.7%
1215,木星上行,1.5%,60.54,4,2.6%,6.6%
1216,澳门风云2,1.3%,52.66,7,1.6%,10.0%
1217,狼图腾,1.3%,50.79,6,1.4%,9.0%
1218,封门诡影,1.2%,48.91,4,2.7%,7.3%
1219,帕丁顿熊,0.9%,38.32,5,1.8%,7.0%
1220,天将雄师,0.3%,13.10,10,0.2%,13.6%
1221,将错就错,0.2%,8.87,3,0.6%,9.0%
1222,战狼,0.1%,5.54,200,<0.1%,100%
1223,扑通扑通我的人生,<0.1%,2.75,1,0.3%,3.6%
1224,一万年以后,<0.1%,2.36,11,<0.1%,50.1%
1225,璀璨的婚礼,<0.1%,1.97,1,0.5%,1.6%
1226,大喜临门,<0.1%,1.33,3,<0.1%,8.1%
1227,吉星高照2015,<0.1%,1.09,14,<0.1%,13.3%
1228,王牌特工：特工学院,47.6%,3504.62,28,28.3%,23.8%
1229,失孤,12.7%,935.08,13,16.6%,15.1%
1230,灰姑娘,12.5%,926.42,18,12.6%,21.6%
1231,飓风营救3,10.2%,756.55,11,14.7%,11.8%
1232,一万年以后,7.4%,550.10,11,11.2%,13.3%
1233,超能陆战队,4.2%,315.14,15,4.6%,17.9%
1234,兔侠之青黎传说,0.8%,60.25,53,<0.1%,100%
1235,可爱的你,0.7%,57.16,8,1.5%,13.4%
1236,第七谎言,0.6%,49.22,3,3.0%,3.9%
1237,菜鸟,0.6%,45.11,3,2.9%,4.8%
1238,狼图腾,0.4%,34.48,11,0.5%,20.1%
1239,帕丁顿熊,0.3%,27.88,8,0.7%,11.6%
1240,封门诡影,0.3%,24.94,5,1.2%,12.1%
1241,澳门风云2,0.2%,17.69,8,0.4%,14.9%
1242,木星上行,0.2%,16.95,5,0.6%,12.0%
1243,天将雄师,0.1%,11.32,20,0.1%,27.6%
1244,战狼,<0.1%,4.82,130,<0.1%,69.2%
1245,将错就错,<0.1%,3.83,3,0.2%,14.2%
1246,扑通扑通我的人生,<0.1%,2.37,3,0.1%,13.3%
1247,咱们结婚吧,<0.1%,2.07,--,<0.1%,--
1248,王牌特工：特工学院,48.1%,6198.62,47,28.5%,39.5%
1249,灰姑娘,14.5%,1869.19,32,13.7%,37.3%
1250,失孤,10.6%,1367.69,20,15.8%,23.8%
1251,飓风营救3,9.1%,1182.96,17,13.8%,18.6%
1252,超能陆战队,7.4%,959.80,30,6.5%,36.7%
1253,一万年以后,5.7%,742.09,14,10.8%,17.1%
1254,帕丁顿熊,0.8%,105.62,20,1.1%,28.0%
1255,可爱的你,0.6%,84.02,13,1.3%,21.4%
1256,兔侠之青黎传说,0.5%,74.05,52,<0.1%,100%
1257,狼图腾,0.4%,54.08,17,0.5%,30.6%
1258,第七谎言,0.3%,50.79,3,2.4%,4.0%
1259,菜鸟,0.3%,45.70,4,2.3%,6.6%
1260,封门诡影,0.3%,39.40,7,1.3%,16.2%
1261,木星上行,0.2%,29.33,9,0.5%,24.1%
1262,澳门风云2,0.2%,27.30,12,0.4%,20.5%
1263,战狼,<0.1%,9.90,288,<0.1%,100%
1264,天将雄师,<0.1%,8.01,14,0.1%,16.6%
1265,熊出没之雪岭熊风,<0.1%,6.62,11,0.1%,26.6%
1266,将错就错,<0.1%,6.06,4,0.2%,19.3%
1267,北京纽约,<0.1%,3.65,15,<0.1%,40.0%
1268,王牌特工：特工学院,50.6%,5562.45,41,29.1%,34.2%
1269,灰姑娘,12.8%,1409.56,23,14.5%,26.7%
1270,失孤,9.3%,1022.50,15,15.4%,17.9%
1271,飓风营救3,8.2%,904.65,13,13.2%,14.3%
1272,超能陆战队,7.7%,852.38,26,6.9%,30.7%
1273,一万年以后,5.4%,593.28,12,10.1%,14.8%
1274,战狼,1.2%,140.75,133,0.2%,94.9%
1275,帕丁顿熊,0.8%,95.30,17,1.2%,23.5%
1276,兔侠之青黎传说,0.7%,82.79,58,<0.1%,100%
1277,可爱的你,0.6%,68.94,10,1.3%,16.4%
1278,狼图腾,0.5%,61.40,19,0.5%,33.2%
1279,菜鸟,0.3%,43.38,5,2.0%,8.2%
1280,第七谎言,0.3%,37.70,3,2.2%,4.0%
1281,封门诡影,0.2%,29.61,5,1.3%,11.1%
1282,澳门风云2,0.2%,24.17,10,0.4%,18.5%
1283,木星上行,0.2%,23.08,7,0.5%,17.1%
1284,熊出没之雪岭熊风,<0.1%,7.21,10,0.1%,24.8%
1285,天将雄师,<0.1%,6.79,13,<0.1%,15.5%
1286,将错就错,<0.1%,5.75,4,0.2%,17.7%
1287,通道转兵,<0.1%,2.19,--,<0.1%,--
1288,王牌特工：特工学院,57.4%,2627.63,21,29.8%,17.4%
1289,失孤,10.1%,463.91,7,16.1%,8.3%
1290,灰姑娘,9.2%,422.47,7,14.6%,8.1%
1291,飓风营救3,8.8%,405.83,6,14.0%,6.6%
1292,一万年以后,5.2%,239.11,5,9.9%,6.4%
1293,超能陆战队,3.1%,145.92,7,4.9%,8.0%
1294,兔侠之青黎传说,1.6%,74.22,55,<0.1%,100%
1295,可爱的你,0.7%,35.49,5,1.5%,8.0%
1296,狼图腾,0.6%,31.55,10,0.6%,18.0%
1297,第七谎言,0.4%,19.48,2,2.1%,2.7%
1298,封门诡影,0.4%,19.01,3,1.4%,6.9%
1299,咱们结婚吧,0.4%,18.40,--,<0.1%,--
1300,帕丁顿熊,0.3%,14.23,4,0.8%,5.6%
1301,澳门风云2,0.2%,12.99,5,0.5%,9.3%
1302,菜鸟,0.2%,10.38,1,2.0%,1.7%
1303,木星上行,0.2%,10.14,3,0.6%,7.7%
1304,天将雄师,0.1%,5.36,11,0.1%,16.1%
1305,战狼,<0.1%,3.66,89,<0.1%,100%
1306,将错就错,<0.1%,3.28,2,0.3%,9.0%
1307,暴疯语,<0.1%,2.84,140,<0.1%,34.2%
1308,王牌特工：特工学院,58.8%,2655.87,21,31.2%,20.0%
1309,失孤,10.2%,461.91,7,16.6%,9.6%
1310,灰姑娘,9.9%,447.47,8,15.8%,11.0%
1311,飓风营救3,9.7%,439.14,7,14.8%,8.7%
1312,一万年以后,5.1%,232.39,5,10.1%,6.7%
1313,兔侠之青黎传说,1.1%,53.07,50,<0.1%,100%
1314,可爱的你,0.9%,44.79,6,1.8%,9.4%
1315,狼图腾,0.7%,35.83,10,0.6%,18.2%
1316,帕丁顿熊,0.5%,24.79,6,1.1%,8.4%
1317,封门诡影,0.4%,21.30,3,1.6%,7.3%
1318,第七谎言,0.4%,18.33,2,2.0%,2.7%
1319,澳门风云2,0.3%,16.28,6,0.5%,10.3%
1320,木星上行,0.3%,16.12,4,0.7%,9.4%
1321,菜鸟,0.2%,10.15,1,1.9%,1.7%
1322,咱们结婚吧,0.1%,8.12,147,<0.1%,100%
1323,天将雄师,0.1%,6.25,11,0.1%,15.0%
1324,战狼,0.1%,5.39,167,<0.1%,--
1325,将错就错,<0.1%,4.00,3,0.3%,13.8%
1326,摩尔庄园3：魔幻列车大冒险,<0.1%,2.81,238,<0.1%,100%
1327,扑通扑通我的人生,<0.1%,1.38,2,0.1%,10.8%
1328,王牌特工：特工学院,57.9%,2351.76,18,30.2%,18.8%
1329,失孤,9.5%,387.81,6,16.2%,8.7%
1330,飓风营救3,9.4%,383.83,6,14.4%,7.7%
1331,灰姑娘,9.1%,372.88,6,15.1%,8.9%
1332,一万年以后,4.8%,197.13,5,10.0%,6.9%
1333,战狼,2.3%,94.23,46,0.4%,100%
1334,兔侠之青黎传说,1.6%,65.23,58,0.1%,100%
1335,可爱的你,0.9%,39.03,5,1.9%,8.6%
1336,咱们结婚吧,0.7%,31.35,21,0.3%,100%
1337,封门诡影,0.5%,21.37,4,1.6%,8.9%
1338,帕丁顿熊,0.5%,21.06,5,1.1%,7.9%
1339,澳门风云2,0.3%,15.78,5,0.6%,9.5%
1340,第七谎言,0.3%,15.63,2,2.8%,3.0%
1341,木星上行,0.3%,13.66,4,0.8%,9.4%
1342,菜鸟,0.2%,11.06,2,1.9%,3.1%
1343,狼图腾,0.1%,7.91,9,0.1%,14.3%
1344,天将雄师,0.1%,7.06,14,0.1%,24.1%
1345,冲锋车,0.1%,4.34,169,<0.1%,81.4%
1346,将错就错,<0.1%,3.62,3,0.4%,13.5%
1347,通道转兵,<0.1%,3.03,129,<0.1%,--
1348,爸爸的假期,<0.1%,2.37,41,<0.1%,72.1%
1349,摩尔庄园3：魔幻列车大冒险,<0.1%,2.33,176,<0.1%,100%
1350,战狼,43.6%,3726.61,28,29.3%,30.8%
1351,咱们结婚吧,32.0%,2735.66,21,28.6%,23.1%
1352,王牌特工：特工学院,18.2%,1555.80,18,18.4%,20.4%
1353,灰姑娘,1.7%,150.07,6,5.8%,9.7%
1354,失孤,1.1%,96.20,4,5.8%,6.6%
1355,飓风营救3,1.0%,92.87,5,4.4%,7.0%
1356,兔侠之青黎传说,0.9%,78.77,60,0.2%,100%
1357,一万年以后,0.4%,35.26,3,2.7%,5.5%
1358,帕丁顿熊,0.1%,9.85,7,0.4%,14.1%
1359,可爱的你,<0.1%,8.45,5,0.4%,10.5%
1360,封门诡影,<0.1%,7.05,2,0.9%,7.1%
1361,狼图腾,<0.1%,5.16,9,0.1%,16.6%
1362,暴疯语,<0.1%,5.07,8,0.1%,71.0%
1363,冲锋车,<0.1%,3.20,10,<0.1%,100%
1364,我们结婚吧,<0.1%,2.72,23,<0.1%,--
1365,天将雄师,<0.1%,2.67,17,<0.1%,29.9%
1366,摩尔庄园3：魔幻列车大冒险,<0.1%,2.65,165,<0.1%,100%
1367,天河,<0.1%,2.57,75,<0.1%,100%
1368,澳门风云2,<0.1%,2.56,4,0.1%,7.0%
1369,三更车库,<0.1%,2.01,12,<0.1%,100%
1370,菜鸟,<0.1%,1.99,1,0.5%,3.6%
1371,木星上行,<0.1%,1.55,2,0.2%,6.1%
1372,通道转兵,<0.1%,1.26,49,<0.1%,--
1373,将错就错,<0.1%,1.24,2,0.2%,11.3%
1374,战狼,35.7%,3814.82,31,24.9%,33.9%
1375,咱们结婚吧,27.9%,2980.67,27,22.8%,29.2%
1376,王牌特工：特工学院,18.8%,2009.95,36,10.7%,38.6%
1377,暴疯语,7.7%,832.87,14,13.2%,17.8%
1378,白幽灵传奇之绝命逃亡,3.0%,323.24,8,7.9%,10.8%
1379,冲锋车,2.5%,274.55,8,8.1%,10.6%
1380,三更车库,0.9%,106.48,7,3.6%,12.5%
1381,灰姑娘,0.9%,96.92,15,1.4%,27.6%
1382,兔侠之青黎传说,0.9%,96.76,78,0.1%,100%
1383,无敌小飞猪,0.3%,32.98,4,2.0%,10.1%
1384,飓风营救3,0.2%,27.49,7,0.7%,14.0%
1385,失孤,0.2%,25.00,6,0.9%,13.5%
1386,一万年以后,0.1%,13.08,5,0.6%,9.3%
1387,帕丁顿熊,<0.1%,9.94,11,0.2%,19.1%
1388,可爱的你,<0.1%,5.37,13,<0.1%,35.8%
1389,狼图腾,<0.1%,4.35,11,<0.1%,26.8%
1390,天河,<0.1%,3.38,76,<0.1%,100%
1391,封门诡影,<0.1%,3.22,2,0.4%,12.1%
1392,公路美人,<0.1%,2.87,1,0.6%,1.1%
1393,将错就错,<0.1%,1.86,3,0.1%,20.2%
1394,摩尔庄园3：魔幻列车大冒险,<0.1%,1.64,142,<0.1%,100%
1395,通道转兵,<0.1%,1.43,73,<0.1%,--
1396,天将雄师,<0.1%,1.19,88,<0.1%,100%
1397,黄克功案件,<0.1%,1.15,193,<0.1%,79.7%
1398,战狼,34.4%,6179.20,45,25.7%,47.0%
1399,咱们结婚吧,24.3%,4370.58,39,22.0%,42.9%
1400,王牌特工：特工学院,21.7%,3892.17,63,10.9%,68.1%
1401,暴疯语,6.2%,1127.71,21,10.7%,28.0%
1402,魔法总动员,4.5%,807.79,22,7.5%,35.7%
1403,白幽灵传奇之绝命逃亡,2.2%,410.47,13,5.6%,20.8%
1404,冲锋车,2.0%,362.47,12,6.4%,16.5%
1405,灰姑娘,1.6%,298.34,34,1.7%,56.5%
1406,三更车库,0.7%,136.01,10,3.1%,17.9%
1407,兔侠之青黎传说,0.4%,72.18,66,0.1%,100%
1408,无敌小飞猪,0.4%,71.98,7,2.3%,20.4%
1409,飓风营救3,0.2%,44.27,14,0.4%,35.3%
1410,帕丁顿熊,0.2%,39.30,34,0.2%,44.7%
1411,失孤,0.1%,35.43,12,0.6%,29.0%
1412,一万年以后,0.1%,23.29,10,0.4%,20.3%
1413,狼图腾,<0.1%,10.55,23,<0.1%,48.7%
1414,封门诡影,<0.1%,6.32,4,0.4%,23.3%
1415,可爱的你,<0.1%,5.74,16,<0.1%,46.6%
1416,将错就错,<0.1%,1.99,4,0.1%,27.9%
1417,菜鸟,<0.1%,1.87,4,0.2%,17.0%
1418,红包,<0.1%,1.79,47,<0.1%,--
1419,木星上行,<0.1%,1.79,8,<0.1%,22.9%
1420,通道转兵,<0.1%,1.56,78,<0.1%,--
1421,公路美人,<0.1%,1.47,2,0.2%,2.0%
1422,天河,<0.1%,1.44,59,<0.1%,100%
1423,澳门风云2,<0.1%,1.43,8,<0.1%,24.9%
1424,战狼,35.4%,7023.04,50,26.4%,51.7%
1425,咱们结婚吧,23.1%,4575.70,41,21.9%,46.3%
1426,王牌特工：特工学院,23.0%,4564.14,66,12.5%,68.7%
1427,魔法总动员,5.6%,1118.39,27,8.0%,45.9%
1428,暴疯语,4.2%,837.62,18,9.3%,24.9%
1429,白幽灵传奇之绝命逃亡,2.0%,402.22,14,5.1%,23.7%
1430,灰姑娘,1.9%,390.37,37,2.0%,60.7%
1431,冲锋车,1.8%,372.76,14,5.7%,19.4%
1432,三更车库,0.6%,138.39,11,2.9%,19.4%
1433,兔侠之青黎传说,0.3%,78.57,72,0.1%,100%
1434,无敌小飞猪,0.3%,75.00,9,2.0%,24.1%
1435,帕丁顿熊,0.2%,49.05,42,0.2%,49.4%
1436,飓风营救3,0.2%,48.77,16,0.4%,40.2%
1437,失孤,0.2%,41.55,14,0.5%,35.7%
1438,一万年以后,0.1%,29.48,12,0.4%,28.6%
1439,狼图腾,<0.1%,12.31,25,<0.1%,59.2%
1440,封门诡影,<0.1%,7.56,4,0.4%,24.8%
1441,可爱的你,<0.1%,5.61,15,<0.1%,40.3%
1442,爸爸的假期,<0.1%,3.09,42,<0.1%,68.2%
1443,菜鸟,<0.1%,3.04,4,0.2%,18.2%
1444,通道转兵,<0.1%,2.71,96,<0.1%,--
1445,澳门风云2,<0.1%,2.37,13,<0.1%,33.6%
1446,木星上行,<0.1%,2.33,10,<0.1%,24.0%
1447,红包,<0.1%,2.02,52,<0.1%,--
1448,公路美人,<0.1%,1.35,2,0.2%,1.8%
1449,战狼,34.8%,5053.05,36,26.9%,37.6%
1450,咱们结婚吧,23.2%,3370.60,31,21.9%,35.6%
1451,王牌特工：特工学院,23.2%,3366.96,47,13.6%,47.3%
1452,魔法总动员,7.0%,1026.21,26,8.0%,42.5%
1453,暴疯语,3.4%,504.26,12,8.7%,17.0%
1454,灰姑娘,2.2%,327.29,28,2.4%,45.1%
1455,冲锋车,1.8%,275.35,11,5.3%,16.4%
1456,白幽灵传奇之绝命逃亡,1.7%,249.51,10,4.8%,16.7%
1457,三更车库,0.5%,85.03,7,2.8%,12.8%
1458,兔侠之青黎传说,0.4%,68.36,65,0.1%,100%
1459,无敌小飞猪,0.4%,58.82,8,1.8%,21.5%
1460,飓风营救3,0.2%,34.89,11,0.4%,28.3%
1461,失孤,0.1%,24.53,9,0.5%,22.9%
1462,一万年以后,0.1%,19.54,9,0.4%,19.7%
1463,狼图腾,<0.1%,10.15,21,<0.1%,44.7%
1464,可爱的你,<0.1%,5.07,17,<0.1%,40.7%
1465,封门诡影,<0.1%,5.04,3,0.5%,17.8%
1466,通道转兵,<0.1%,3.03,102,<0.1%,--
1467,木星上行,<0.1%,1.66,7,<0.1%,14.8%
1468,澳门风云2,<0.1%,1.53,9,<0.1%,23.3%
1469,菜鸟,<0.1%,1.09,2,0.2%,8.0%
1470,战狼,43.5%,2728.69,21,27.9%,22.0%
1471,咱们结婚吧,25.3%,1587.21,16,22.6%,18.7%
1472,王牌特工：特工学院,19.3%,1214.06,18,14.7%,18.7%
1473,暴疯语,3.5%,222.30,6,9.2%,8.3%
1474,冲锋车,2.1%,135.71,6,6.0%,8.4%
1475,白幽灵传奇之绝命逃亡,1.9%,123.74,5,5.2%,8.4%
1476,兔侠之青黎传说,0.8%,53.90,67,0.1%,100%
1477,三更车库,0.8%,52.54,5,3.0%,8.0%
1478,灰姑娘,0.8%,51.00,6,2.1%,9.4%
1479,魔法总动员,0.7%,47.68,3,4.3%,3.9%
1480,飓风营救3,0.2%,15.03,5,0.5%,12.4%
1481,失孤,0.1%,10.75,4,0.6%,9.2%
1482,一万年以后,<0.1%,5.04,3,0.4%,6.2%
1483,狼图腾,<0.1%,3.68,7,0.1%,13.4%
1484,封门诡影,<0.1%,2.41,2,0.5%,9.0%
1485,可爱的你,<0.1%,1.89,7,<0.1%,13.8%
1486,无敌小飞猪,<0.1%,1.69,1,0.9%,1.4%
1487,摩尔庄园3：魔幻列车大冒险,<0.1%,1.53,152,<0.1%,100%
1488,黄克功案件,<0.1%,1.28,214,<0.1%,88.2%
1489,通道转兵,<0.1%,1.26,56,<0.1%,--
1490,战狼,43.7%,2619.29,20,28.5%,21.1%
1491,咱们结婚吧,24.6%,1474.56,15,22.6%,18.0%
1492,王牌特工：特工学院,19.6%,1179.26,17,15.2%,17.8%
1493,暴疯语,3.3%,201.84,6,8.7%,8.5%
1494,冲锋车,2.2%,134.26,6,6.0%,8.6%
1495,白幽灵传奇之绝命逃亡,1.8%,111.01,5,5.1%,8.2%
1496,兔侠之青黎传说,1.0%,65.14,68,0.1%,100%
1497,三更车库,0.8%,50.73,4,3.1%,7.9%
1498,灰姑娘,0.8%,48.27,6,2.1%,9.0%
1499,魔法总动员,0.6%,38.84,3,3.8%,4.0%
1500,爸爸的假期,0.2%,15.13,57,<0.1%,100%
1501,飓风营救3,0.2%,13.94,4,0.6%,10.2%
1502,失孤,0.2%,12.74,5,0.6%,11.8%
1503,一万年以后,<0.1%,5.23,3,0.4%,7.0%
1504,狼图腾,<0.1%,3.34,6,0.1%,12.0%
1505,澳门风云2,<0.1%,2.78,28,<0.1%,82.4%
1506,摩尔庄园3：魔幻列车大冒险,<0.1%,2.64,181,<0.1%,100%
1507,封门诡影,<0.1%,2.45,2,0.6%,8.8%
1508,可爱的你,<0.1%,1.89,6,<0.1%,14.8%
1509,黄克功案件,<0.1%,1.45,242,<0.1%,100.0%
1510,无敌小飞猪,<0.1%,1.24,1,0.7%,1.4%
1511,战狼,43.8%,2434.05,18,28.8%,18.7%
1512,咱们结婚吧,23.7%,1320.23,13,22.7%,15.5%
1513,王牌特工：特工学院,19.9%,1108.12,16,15.5%,16.0%
1514,暴疯语,3.3%,184.43,5,8.4%,8.0%
1515,冲锋车,2.3%,131.65,5,6.0%,8.0%
1516,白幽灵传奇之绝命逃亡,1.8%,100.83,4,5.0%,7.3%
1517,兔侠之青黎传说,1.1%,61.77,70,0.1%,100%
1518,灰姑娘,0.8%,47.80,6,2.1%,8.6%
1519,三更车库,0.8%,47.42,4,3.1%,7.2%
1520,魔法总动员,0.6%,35.08,3,3.5%,3.4%
1521,爸爸的假期,0.4%,22.55,93,<0.1%,100%
1522,飓风营救3,0.2%,13.75,4,0.6%,10.1%
1523,失孤,0.1%,10.29,4,0.6%,8.4%
1524,一万年以后,<0.1%,5.07,3,0.4%,6.3%
1525,狼图腾,<0.1%,4.61,8,0.1%,16.0%
1526,摩尔庄园3：魔幻列车大冒险,<0.1%,3.18,216,<0.1%,100%
1527,可爱的你,<0.1%,2.71,10,<0.1%,24.2%
1528,天河,<0.1%,2.65,132,<0.1%,100%
1529,封门诡影,<0.1%,2.65,2,0.6%,9.1%
1530,超能陆战队,<0.1%,1.55,122,<0.1%,--
1531,无敌小飞猪,<0.1%,1.36,1,0.7%,1.5%
1532,菜鸟,<0.1%,1.02,1,0.3%,5.9%
1533,战狼,43.4%,3153.17,23,29.0%,23.5%
1534,王牌特工：特工学院,22.2%,1610.38,22,15.6%,22.8%
1535,咱们结婚吧,22.1%,1607.51,16,22.4%,19.0%
1536,暴疯语,2.9%,217.29,7,7.7%,10.2%
1537,冲锋车,2.0%,145.22,6,5.6%,9.3%
1538,白幽灵传奇之绝命逃亡,1.5%,113.90,5,4.5%,9.2%
1539,魔法总动员,1.1%,85.67,6,3.2%,9.6%
1540,灰姑娘,0.9%,71.90,9,1.9%,13.7%
1541,三更车库,0.7%,55.74,5,2.8%,9.1%
1542,兔侠之青黎传说,0.7%,53.57,72,0.1%,100%
1543,特功明星,0.4%,30.74,3,2.9%,3.9%
1544,爸爸的假期,0.2%,20.77,93,<0.1%,100%
1545,飓风营救3,0.2%,18.88,6,0.5%,15.7%
1546,失孤,0.1%,11.95,5,0.5%,12.3%
1547,狼图腾,0.1%,11.24,10,0.1%,19.0%
1548,一万年以后,0.1%,10.49,6,0.3%,16.5%
1549,可爱的你,<0.1%,5.66,16,<0.1%,31.7%
1550,乡村里的中国,<0.1%,4.66,55,<0.1%,69.2%
1551,摩尔庄园3：魔幻列车大冒险,<0.1%,3.35,179,<0.1%,100%
1552,无敌小飞猪,<0.1%,3.26,2,0.5%,5.6%
1553,封门诡影,<0.1%,3.06,2,0.5%,11.9%
1554,天河,<0.1%,3.03,103,<0.1%,100%
1555,寻找声音的耳朵,<0.1%,2.98,249,<0.1%,--
1556,通道转兵,<0.1%,2.55,136,<0.1%,--
1557,速度与激情7,<0.1%,1.34,18,<0.1%,100%
1558,菜鸟,<0.1%,1.20,2,0.2%,7.9%
1559,速度与激情7,30.8%,5245.67,125,6.9%,100%
1560,战狼,29.1%,4965.87,34,26.9%,34.3%
1561,王牌特工：特工学院,16.1%,2749.51,36,14.3%,36.2%
1562,咱们结婚吧,14.0%,2393.24,23,20.0%,28.3%
1563,魔法总动员,3.0%,516.57,17,5.9%,28.5%
1564,暴疯语,1.6%,283.60,10,6.1%,15.2%
1565,灰姑娘,1.1%,190.56,19,2.0%,29.1%
1566,冲锋车,1.1%,189.83,9,4.3%,13.7%
1567,白幽灵传奇之绝命逃亡,0.8%,146.81,8,3.3%,14.8%
1568,特功明星,0.7%,129.94,7,4.2%,10.9%
1569,三更车库,0.3%,64.84,7,2.2%,12.0%
1570,兔侠之青黎传说,0.2%,45.64,69,0.1%,100%
1571,飓风营救3,0.1%,25.19,9,0.4%,21.2%
